Model,Price,Year,Transmission,Fuel type,City
Opel Astra H,63000,2008,Механика,Дизель,Худжанд
Opel Astra G,60000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,52500,1997,Механика,Бензин + газ,Шахритус
Opel Astra H,78000,2006,Механика,Бензин,Душанбе
Opel Astra H,65000,2006,Механика,Бензин,Бободжон Гафуров
Opel Zafira,64000,2006,Механика,Бензин + газ,Яван
Opel Zafira,70000,2006,Механика,Дизель,Душанбе
Opel Astra G,51000,1998,Механика,Бензин + газ,Канибадам
Opel Vectra B,55000,1998,Автомат,Бензин,Душанбе
Opel Astra F,27000,1998,Механика,Бензин,Душанбе
Opel Vectra A,16000,1991,Механика,Бензин + газ,Яван
Opel Zafira,45000,1999,Механика,Бензин + газ,Куляб
Opel Astra F,26000,1993,Механика,Бензин + газ,Душанбе
Opel Astra F,34500,1996,Механика,Бензин + газ,Дангара
Opel Astra F,21000,1992,Механика,Бензин + газ,Фархор
Opel Astra F,38000,1996,Механика,Бензин + газ,Восе
Opel Vectra B,28000,1995,Механика,Бензин + газ,Худжанд
Opel Astra G,65000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,17000,1992,Механика,Бензин + газ,Шахритус
Opel Combo,35000,1999,Механика,Бензин + газ,Худжанд
Opel Astra H,71000,2006,Механика,Бензин + газ,Пенджикент
Opel Zafira,60000,2002,Механика,Бензин + газ,Вахдат
Opel Astra F,50000,1995,Механика,Бензин + газ,Вахш
Opel Astra F,48000,1997,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Vectra C,35000,2002,Механика,Бензин + газ,Душанбе
Opel Zafira,85000,2006,Механика,Бензин,Худжанд
Opel Astra F,30000,1994,Механика,Бензин,Хорог
Opel Astra F,34000,1995,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra G,55000,1998,Механика,Бензин,Яван
Opel Astra F,42000,1996,Механика,Бензин,Душанбе
Opel Astra G,65000,1999,Автомат,Бензин + газ,Худжанд
Opel Astra H,85000,2009,Механика,Бензин,Истаравшан
Opel Astra G,55000,1998,Автомат,Бензин + газ,Худжанд
Opel Astra F,30000,1995,Механика,Бензин + газ,Пенджикент
Opel Astra G,52000,1999,Механика,Бензин + газ,Дусти (Джиликуль)
Opel Astra G,44000,1999,Механика,Бензин + газ,Фархор
Opel Astra H,90000,2008,Механика,Бензин + газ,Восе
Opel Astra F,21000,1996,Механика,Газ,Душанбе
Opel Vectra B,27000,1995,Механика,Бензин + газ,Зафарабад
Opel Vectra A,20000,1991,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,36000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra B,45000,2000,Механика,Бензин + газ,Душанбе
Opel Astra G,45000,1999,Автомат,Бензин,Яван
Opel Astra H,64500,2005,Механика,Бензин + газ,Худжанд
Opel Astra H,90000,2008,Механика,Бензин + газ,Восе
Opel Astra H,57000,2008,Механика,Дизель,Худжанд
Opel Zafira,77600,2004,Автомат,Бензин + газ,Рашт
Opel Zafira,60000,2000,Механика,Бензин,Душанбе
Opel Astra G,45000,1998,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Astra G,68000,2002,Механика,Бензин + газ,Душанбе
Opel Astra F,33000,1996,Механика,Бензин + газ,Гиссар
Opel Astra H,55000,2007,Механика,Дизель,Истиклол
Opel Astra F,26000,1993,Механика,Бензин + газ,Душанбе
Opel Astra F,64000,1998,Механика,Бензин,Душанбе
Opel Astra F,30000,1994,Механика,Бензин + газ,Джаббор Расулов
Opel Calibra,15000,1995,Механика,Бензин + газ,Гиссар
Opel Astra F,48000,1997,Механика,Бензин + газ,Пяндж
Opel Vectra A,16000,1992,Механика,Бензин + газ,Хамадани
Opel Vectra A,10000,1993,Механика,Газ,Хуросон
Opel Vectra C,45000,2002,Механика,Бензин + газ,Спитамен
Opel Astra F,48000,1994,Механика,Бензин + газ,Пенджикент
Opel Vectra A,16000,1992,Механика,Бензин + газ,Истаравшан
Opel Astra G,53000,2000,Механика,Бензин + газ,Вахш
Opel Vectra A,25000,1994,Механика,Бензин + газ,Гиссар
Opel Astra F,32000,1995,Механика,Бензин + газ,Вахдат
Opel Astra H,68000,2004,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,100000,2003,Механика,Бензин,Вахш
Opel Astra F,33999,1992,Механика,Бензин,Рудаки
Opel Vectra C,43000,2002,Механика,Бензин + газ,Душанбе
Opel Astra F,21000,1997,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra F,25000,1993,Механика,Бензин + газ,Лахш (Джиргиталь)
Opel Zafira,88000,2007,Механика,Бензин,Худжанд
Opel Zafira,58000,2000,Механика,Бензин,Пенджикент
Opel Vectra A,15500,1992,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,36500,1997,Механика,Бензин,Душанбе
Opel Astra F,36500,1994,Механика,Бензин + газ,Душанбе
Opel Vectra B,42600,2001,Механика,Бензин + газ,Душанбе
Opel Astra H,65000,2006,Механика,Бензин + газ,Дусти (Джиликуль)
Opel Astra H,65000,2007,Механика,Дизель,Худжанд
Opel Astra F,25000,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,49000,1999,Механика,Бензин + газ,Яван
Opel Astra F,45000,2000,Механика,Бензин,Душанбе
Opel Astra G,52000,1998,Механика,Бензин + газ,Зафарабад
Opel Astra G,67000,2001,Механика,Бензин,Душанбе
Opel Astra G,58000,2000,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,53000,1998,Механика,Бензин + газ,Душанбе
Opel Vectra B,40000,1999,Механика,Бензин + газ,Пенджикент
Opel Vectra B,35000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,47000,1999,Автомат,Бензин + газ,Вахдат
Opel Zafira,70000,2007,Механика,Дизель,Худжанд
Opel Astra G,79000,2006,Механика,Бензин + газ,Спитамен
Opel Astra F,40000,1997,Механика,Бензин + газ,Куляб
Opel Vectra B,45000,1999,Автомат,Бензин + газ,Вахдат
Opel Astra F,21500,1993,Механика,Бензин + газ,Душанбе
Opel Astra F,22000,1992,Механика,Бензин + газ,Кабодиён
Opel Astra G,72000,2001,Механика,Бензин,Душанбе
Opel Astra G,65000,2000,Автомат,Бензин,Худжанд
Opel Vectra B,30000,1996,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,48500,1995,Механика,Бензин,Душанбе
Opel Antara,90000,2008,Автомат,Бензин,Канибадам
Opel Vectra A,21000,1992,Механика,Бензин + газ,Вахдат
Opel Vectra B,47900,1998,Автомат,Бензин + газ,Худжанд
Opel Vectra C,50000,2004,Механика,Бензин + газ,Айни
Opel Astra F,43000,1995,Механика,Бензин + газ,Абдурахмони Джоми
Opel Astra F,41000,1997,Механика,Бензин + газ,Душанбе
Opel Zafira,69000,2006,Механика,Бензин,Душанбе
Opel Astra F,25000,1994,Механика,Бензин,Дангара
Opel Vectra B,38000,1999,Автомат,Бензин + газ,Вахдат
Opel Astra H,88000,2006,Механика,Бензин + газ,Дангара
Opel Zafira,150000,2017,Автомат,Дизель,Худжанд
Opel Astra G,51000,1999,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra H,65000,2006,Механика,Бензин + газ,Восе
Opel Astra F,32000,1997,Механика,Бензин,Душанбе
Opel Astra F,33330,1996,Механика,Бензин + газ,Рогун
Opel Zafira,56000,2000,Механика,Бензин + газ,Исфара
Opel Astra F,40000,1997,Механика,Бензин + газ,Шахринав
Opel Vectra A,27000,1995,Механика,Бензин + газ,Худжанд
Opel Astra F,37000,1996,Механика,Бензин + газ,Файзабад
Opel Zafira,85000,2010,Автомат,Дизель,Худжанд
Opel Astra F,32000,1994,Механика,Бензин + газ,Джаббор Расулов
Opel Astra G,105000,2003,Механика,Бензин,Исфара
Opel Vectra B,35000,1998,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Vectra A,18000,1992,Механика,Бензин,Рашт
Opel Astra F,25000,1994,Механика,Бензин + газ,Куляб
Opel Astra F,58000,2006,Автомат,Бензин,Душанбе
Opel Zafira,102000,2006,Механика,Бензин,Худжанд
Opel Vectra A,30000,1993,Механика,Бензин,Фархор
Opel Vectra B,20000,1994,Механика,Бензин + газ,Вахдат
Opel Astra F,32000,1997,Механика,Бензин,Душанбе
Opel Astra H,81600,2008,Механика,Бензин + газ,Пенджикент
Opel Astra F,26500,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,44000,1999,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra H,64000,2005,Механика,Бензин + газ,Худжанд
Opel Astra F,28000,1992,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra B,45000,1999,Механика,Бензин,Ашт
Opel Zafira,52000,1999,Механика,Бензин + газ,Рашт
Opel Astra F,32000,1995,Механика,Бензин + газ,Душанбе
Opel Zafira,75000,2009,Механика,Дизель,Худжанд
Opel Zafira,85000,2006,Автомат,Бензин,Яван
Opel Vectra A,40000,1995,Механика,Бензин + газ,Канибадам
Opel Astra H,65000,2005,Механика,Бензин,Душанбе
Opel Astra F,27000,1995,Механика,Бензин + газ,Душанбе
Opel Vectra A,35000,1994,Механика,Бензин + газ,Вахш
Opel Astra H,74000,2007,Механика,Бензин,Худжанд
Opel Astra G,65000,2000,Механика,Бензин,Душанбе
Opel Astra F,27000,1994,Механика,Бензин + газ,Душанбе
Opel Astra G,58000,1999,Механика,Бензин + газ,Вахдат
Opel Astra F,30000,1992,Механика,Бензин + газ,Куляб
Opel Vectra A,33000,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra H,60000,2006,Механика,Бензин,Вахдат
Opel Astra F,37000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,37000,1996,Механика,Бензин,Пенджикент
Opel Astra F,35000,1997,Механика,Бензин + газ,Душанбе
Opel Astra F,45000,1996,Механика,Бензин,Душанбе
Opel Astra G,65000,1999,Автомат,Бензин + газ,Худжанд
Opel Astra F,30000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,42000,1997,Механика,Бензин + газ,Истаравшан
Opel Astra H,60000,2004,Механика,Бензин,Душанбе
Opel Astra F,39500,1997,Механика,Бензин + газ,Душанбе
Opel Astra H,72000,2006,Механика,Бензин,Худжанд
Opel Vectra B,38000,1995,Механика,Бензин,Душанбе
Opel Vectra A,25000,1992,Механика,Бензин + газ,Варзоб
Opel Astra F,25000,1993,Механика,Бензин + газ,Шахринав
Opel Vectra A,31500,1993,Механика,Бензин,Дангара
Opel Astra F,43000,1997,Механика,Бензин + газ,Душанбе
Opel Astra F,37000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,30000,1996,Механика,Бензин,Рашт
Opel Astra F,45000,1998,Механика,Бензин + газ,Куляб
Opel Vectra A,29000,1993,Механика,Бензин + газ,Канибадам
Opel Astra F,23000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,46000,1995,Механика,Бензин + газ,Худжанд
Opel Vectra A,25000,1994,Механика,Бензин + газ,Дангара
Opel Astra F,45000,1998,Автомат,Бензин + газ,Худжанд
Opel Astra H,80000,2008,Механика,Бензин,Ашт
Opel Astra H,80000,2006,Механика,Бензин,Худжанд
Opel Zafira,65000,2006,Механика,Бензин,Душанбе
Opel Astra G,69500,2001,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra F,45000,1997,Механика,Бензин,Душанбе
Opel Astra F,35000,1994,Механика,Бензин + газ,Душанбе
Opel Astra H,66000,2008,Механика,Бензин,Пенджикент
Opel Astra G,57000,2000,Механика,Бензин + газ,Пенджикент
Opel Astra F,36000,1997,Механика,Бензин,Яван
Opel Zafira,90000,2009,Механика,Бензин,Спитамен
Opel Astra F,45000,1997,Механика,Бензин,Душанбе
Opel Astra F,37000,1996,Автомат,Бензин + газ,Канибадам
Opel Vectra A,26500,1993,Механика,Бензин + газ,Душанбе
Opel Astra F,43000,1995,Механика,Бензин + газ,Пенджикент
Opel Astra F,35000,1993,Механика,Бензин + газ,Пенджикент
Opel Astra F,37000,1996,Механика,Бензин + газ,Гиссар
Opel Vectra A,30000,1993,Механика,Бензин + газ,Худжанд
Opel Zafira,80000,2007,Механика,Бензин,Варзоб
Opel Zafira,85000,2006,Механика,Бензин + газ,Турсунзаде
Opel Astra F,27000,1995,Механика,Бензин,Душанбе
Opel Astra G,63000,2008,Механика,Бензин,Душанбе
Opel Astra F,23000,1992,Механика,Бензин + газ,Худжанд
Opel Astra H,47000,2006,Механика,Бензин,Душанбе
Opel Astra H,16000,1992,Механика,Бензин + газ,Гиссар
Opel Zafira,80000,2006,Механика,Бензин,Ашт
Opel Astra G,65000,1999,Механика,Бензин + газ,Худжанд
Opel Zafira,99000,2006,Автомат,Бензин,Худжанд
Opel Astra F,33333,1996,Механика,Бензин,Шахритус
Opel Zafira,70000,2006,Механика,Бензин + газ,Ашт
Opel Astra F,35000,1996,Механика,Бензин + газ,Куляб
Opel Vectra A,23000,1994,Механика,Бензин + газ,Душанбе
Opel Vectra A,16500,1990,Механика,Бензин + газ,Хуросон
Opel Astra H,67000,2006,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Zafira,85000,2008,Механика,Бензин,Хамадани
Opel Vectra B,55000,2000,Механика,Бензин + газ,Исфара
Opel Vectra A,33000,1994,Механика,Бензин,Рашт
Opel Astra H,78000,2008,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Astra G,58000,1998,Механика,Бензин + газ,Худжанд
Opel Astra G,85000,2002,Автомат,Бензин + газ,Истаравшан
Opel Astra F,40000,1996,Автомат,Бензин + газ,Гиссар
Opel Astra F,22000,1992,Механика,Бензин + газ,Джайхун (Кумсангир)
Opel Astra F,22000,1993,Механика,Бензин,Восе
Opel Zafira,68000,2000,Механика,Бензин + газ,Джаббор Расулов
Opel Astra J,120000,2013,Автомат,Бензин,Вахдат
Opel Astra G,62000,2000,Механика,Бензин + газ,Шахринав
Opel Astra G,75000,2001,Механика,Бензин + газ,Хамадани
Opel Vectra B,45000,1994,Механика,Бензин + газ,Пяндж
Opel Astra F,36000,1996,Механика,Бензин + газ,Фархор
Opel Astra F,17500,1992,Механика,Газ,Джайхун (Кумсангир)
Opel Astra G,51500,1999,Механика,Бензин + газ,Куляб
Opel Astra H,83000,2006,Автомат,Бензин,Худжанд
Opel Vectra A,33000,1994,Механика,Бензин,Вахдат
Opel Astra F,35000,1998,Механика,Бензин + газ,Истаравшан
Opel Astra G,60000,1999,Механика,Бензин + газ,Душанбе
Opel Astra G,59000,2001,Механика,Бензин + газ,Турсунзаде
Opel Astra F,37000,1996,Механика,Бензин + газ,Фархор
Opel Vectra A,33150,1992,Механика,Бензин + газ,Канибадам
Opel Astra G,51500,1999,Механика,Бензин + газ,Куляб
Opel Astra G,58000,2008,Механика,Дизель,Душанбе
Opel Zafira,110000,2008,Механика,Бензин + газ,Худжанд
Opel Astra G,52000,1999,Механика,Бензин + газ,Истаравшан
Opel Astra G,48000,1999,Механика,Бензин + газ,Куляб
Opel Vectra A,20000,1994,Механика,Бензин + газ,Гиссар
Opel Astra F,18000,1993,Механика,Бензин + газ,Куляб
Opel Astra F,25000,1993,Механика,Бензин + газ,Матча
Opel Astra G,65000,2001,Механика,Бензин + газ,Худжанд
Opel Zafira,45000,1999,Механика,Бензин + газ,Истаравшан
Opel Astra G,65500,2003,Автомат,Бензин + газ,Душанбе
Opel Frontera,60000,1998,Механика,Бензин + газ,Худжанд
Opel Zafira,70000,2007,Механика,Дизель,Худжанд
Opel Vectra C,38000,2003,Автомат,Бензин,Худжанд
Opel Vectra A,35000,1995,Механика,Бензин + газ,Душанбе
Opel Signum,55000,2007,Механика,Дизель,Абдурахмони Джоми
Opel Astra F,28000,1994,Механика,Бензин,Рогун
Opel Astra F,42000,1995,Механика,Бензин + газ,Вахш
Opel Astra F,26000,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Vectra A,28000,1995,Механика,Бензин + газ,Зафарабад
Opel Astra J,87000,2010,Механика,Бензин + газ,Джаббор Расулов
Opel Vectra A,22000,1994,Механика,Газ,Истаравшан
Opel Vectra A,16000,1992,Механика,Бензин + газ,Файзабад
Opel Astra F,35000,1996,Механика,Бензин + газ,Рогун
Opel Vectra B,36000,1996,Механика,Бензин + газ,Вахдат
Opel Zafira,58000,2000,Механика,Бензин + газ,Душанбе
Opel Zafira,95000,2008,Механика,Бензин + газ,Худжанд
Opel Signum,33500,1992,Механика,Бензин,Рашт
Opel Astra G,83000,2001,Автомат,Бензин,Восе
Opel Zafira,75000,2006,Механика,Дизель,Худжанд
Opel Astra F,48000,1999,Механика,Бензин,Пенджикент
Opel Vectra A,20000,1991,Механика,Бензин + газ,Деваштич (Ганчи)
Opel Astra F,45000,1996,Автомат,Бензин + газ,Худжанд
Opel Vectra B,32000,1997,Механика,Бензин + газ,Душанбе
Opel Astra F,40000,1998,Механика,Бензин + газ,Душанбе
Opel Astra F,33000,1996,Механика,Бензин + газ,Душанбе
Opel Zafira,102000,2009,Механика,Бензин,Исфара
Opel Astra F,35000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,52000,1999,Автомат,Бензин,Душанбе
Opel Astra F,35000,1992,Механика,Бензин,Вахдат
Opel Zafira,78000,2008,Механика,Бензин,Лахш (Джиргиталь)
Opel Astra H,60000,2005,Механика,Бензин,Душанбе
Opel Astra H,75000,2007,Механика,Бензин,Душанбе
Opel Astra F,37000,1996,Механика,Бензин + газ,Душанбе
Opel Astra G,55800,1999,Механика,Бензин + газ,Куляб
Opel Astra G,71000,2001,Механика,Бензин,Варзоб
Opel Zafira,68000,2000,Механика,Бензин + газ,Спитамен
Opel Astra H,90000,2008,Механика,Бензин + газ,Душанбе
Opel Astra G,68000,2004,Механика,Бензин,Душанбе
Opel Astra G,60000,2007,Механика,Бензин + газ,Турсунзаде
Opel Astra G,85000,2002,Механика,Бензин,Рогун
Opel Frontera,30000,2002,Механика,Дизель,Душанбе
Opel Astra F,41999,1996,Механика,Бензин + газ,Вахдат
Opel Vectra A,28000,1995,Механика,Бензин,Яван
Opel Astra F,27000,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,45000,1998,Механика,Бензин + газ,Рудаки
Opel Astra H,83000,2006,Автомат,Бензин,Душанбе
Opel Astra G,55000,1999,Механика,Бензин + газ,Куляб
Opel Astra F,44000,1996,Механика,Бензин,Рогун
Opel Astra F,35000,1992,Механика,Бензин + газ,Джаббор Расулов
Opel Zafira,65000,2006,Механика,Бензин + газ,Худжанд
Opel Astra F,30000,1994,Механика,Бензин + газ,Ашт
Opel Astra F,24000,1995,Механика,Бензин + газ,Куляб
Opel Astra G,48500,1998,Механика,Бензин + газ,Душанбе
Opel Astra H,79999,2006,Механика,Бензин + газ,Худжанд
Opel Astra F,30000,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,65000,1998,Механика,Бензин + газ,Душанбе
Opel Astra G,62000,2000,Механика,Бензин + газ,Душанбе
Opel Astra F,43500,1996,Механика,Бензин + газ,Шахритус
Opel Astra F,33000,1994,Механика,Бензин + газ,Душанбе
Opel Astra F,37000,1997,Механика,Бензин + газ,Душанбе
Opel Astra G,58000,1998,Механика,Бензин,Пяндж
Opel Astra J,90000,2014,Механика,Бензин,Худжанд
Opel Astra F,33000,1993,Механика,Бензин + газ,Худжанд
Opel Astra F,27000,1991,Механика,Бензин + газ,Душанбе
Opel Astra G,55000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,26000,1993,Механика,Бензин + газ,Куляб
Opel Astra F,36000,1995,Механика,Бензин,Восе
Opel Astra G,68000,2000,Механика,Бензин + газ,Душанбе
Opel Astra H,54000,2007,Автомат,Дизель,Гиссар
Opel Vectra A,23000,1991,Механика,Бензин + газ,Душанбе
Opel Vectra A,15000,1991,Механика,Газ,Вахдат
Opel Vectra A,33000,1994,Механика,Бензин,Душанбе
Opel Astra H,80000,2006,Автомат,Бензин,Душанбе
Opel Vectra A,13999,1993,Механика,Бензин + газ,Куляб
Opel Astra H,58000,2008,Механика,Бензин + газ,Худжанд
Opel Vectra A,25000,1994,Механика,Бензин + газ,Шахритус
Opel Astra H,74000,2007,Механика,Бензин,Душанбе
Opel Astra F,44000,1997,Вариатор,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,37000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,38000,1997,Механика,Бензин + газ,Шахритус
Opel Vectra C,35000,2004,Автомат,Бензин,Душанбе
Opel Astra F,30000,1995,Механика,Газ,Ховалинг
Opel Astra F,38000,1996,Механика,Бензин + газ,Нурек
Opel Astra F,26000,1998,Механика,Бензин + газ,Яван
Opel Astra F,42000,1998,Механика,Бензин + газ,Куляб
Opel Astra F,30000,1995,Механика,Бензин + газ,Гиссар
Opel Astra F,23999,1992,Механика,Бензин + газ,Душанбе
Opel Astra G,68000,2000,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Zafira,80000,2006,Механика,Дизель,Пенджикент
Opel Astra F,38000,1996,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,35000,1997,Механика,Бензин,Яван
Opel Astra F,25000,1992,Механика,Бензин + газ,Худжанд
Opel Astra G,57000,1999,Механика,Бензин + газ,Спитамен
Opel Vectra C,61000,2007,Механика,Бензин,Душанбе
Opel Astra F,27000,1997,Механика,Бензин + газ,Джалолиддин Балхи (Руми)
Opel Astra H,75000,2006,Механика,Бензин,Худжанд
Opel Zafira,90000,2009,Механика,Бензин,Душанбе
Opel Astra F,25000,1995,Механика,Бензин + газ,Фархор
Opel Astra K,135000,2016,Автомат,Дизель,Душанбе
Opel Astra G,56000,2000,Механика,Бензин + газ,Пенджикент
Opel Vectra B,35500,1996,Механика,Бензин + газ,Гиссар
Opel Astra F,33000,1995,Механика,Бензин + газ,Худжанд
Opel Astra F,31999,1993,Механика,Бензин,Рудаки
Opel Astra F,40000,1997,Механика,Бензин + газ,Турсунзаде
Opel Astra G,85000,2003,Механика,Бензин,Душанбе
Opel Astra F,51000,1996,Автомат,Бензин + газ,Худжанд
Opel Astra G,58000,2000,Механика,Бензин,Вахдат
Opel Astra F,32000,1956,Механика,Бензин + газ,Гиссар
Opel Astra F,28000,1994,Механика,Бензин,Шамсиддин Шохин (Шуроабад)
Opel Zafira,82000,2008,Механика,Бензин,Худжанд
Opel Astra H,76000,2006,Механика,Бензин,Пенджикент
Opel Astra H,70000,2007,Механика,Бензин + газ,Фархор
Opel Astra H,75000,2007,Механика,Бензин + газ,Бободжон Гафуров
Opel Astra H,65000,2007,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Zafira,60000,2000,Автомат,Бензин + газ,Худжанд
Opel Astra H,67000,2006,Механика,Бензин,Душанбе
Opel Zafira,105000,2010,Робот,Бензин,Худжанд
Opel Astra F,27000,1996,Механика,Бензин + газ,Вахдат
Opel Zafira,70000,2007,Механика,Дизель,Худжанд
Opel Zafira,80000,2006,Механика,Бензин,Пенджикент
Opel Astra G,65000,1998,Механика,Бензин + газ,Душанбе
Opel Astra F,55500,1997,Механика,Бензин,Вахдат
Opel Astra F,19500,1993,Механика,Бензин + газ,Вахш
Opel Astra F,35000,1996,Механика,Бензин + газ,Душанбе
Opel Zafira,73000,2007,Механика,Бензин,Фархор
Opel Astra F,27000,1991,Механика,Бензин + газ,Душанбе
Opel Astra G,57000,1999,Механика,Бензин,Джалолиддин Балхи (Руми)
Opel Astra F,45000,1997,Механика,Бензин + газ,Рашт
Opel Astra G,50000,2000,Механика,Бензин,Кабодиён
Opel Zafira,63000,2000,Механика,Бензин + газ,Ашт
Opel Astra F,38000,1996,Механика,Бензин + газ,Куляб
Opel Astra G,60000,1998,Механика,Бензин + газ,Истиклол
Opel Astra G,71000,2002,Механика,Бензин,Душанбе
Opel Astra F,18000,1993,Механика,Бензин + газ,Душанбе
Opel Zafira,64500,2006,Механика,Дизель,Худжанд
Opel Astra F,45000,1997,Автомат,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra F,27000,1991,Механика,Бензин + газ,Душанбе
Opel Astra F,45000,1997,Механика,Бензин,Дусти (Джиликуль)
Opel Astra G,63000,2002,Механика,Бензин + газ,Душанбе
Opel Vectra A,18000,1995,Механика,Бензин + газ,Душанбе
Opel Meriva,55000,2008,Механика,Бензин,Душанбе
Opel Astra F,45000,1997,Механика,Бензин + газ,Хуросон
Opel Vectra A,32000,1995,Механика,Бензин + газ,Душанбе
Opel Zafira,48000,1999,Механика,Бензин + газ,Канибадам
Opel Vectra B,35000,1996,Механика,Бензин + газ,Исфара
Opel Astra F,35500,1996,Механика,Бензин + газ,Вахш
Opel Zafira,73000,2007,Механика,Бензин,Фархор
Opel Vectra A,20000,1991,Механика,Бензин,Вахдат
Opel Astra F,27000,1992,Механика,Бензин + газ,Душанбе
Opel Astra F,38000,1995,Механика,Бензин + газ,Матча
Opel Astra G,72000,2002,Автомат,Бензин + газ,Душанбе
Opel Astra F,33000,1995,Механика,Бензин + газ,Вахдат
Opel Astra G,58500,2008,Механика,Бензин,Душанбе
Opel Astra F,42000,1997,Механика,Бензин,Вахдат
Opel Zafira,58000,1999,Механика,Бензин + газ,Бободжон Гафуров
Opel Vectra A,39500,1995,Механика,Бензин + газ,Душанбе
Opel Astra G,55000,1998,Механика,Бензин,Лахш (Джиргиталь)
Opel Astra G,54000,1999,Механика,Бензин + газ,Душанбе
Opel Astra F,52000,1996,Автомат,Бензин + газ,Душанбе
Opel Astra H,68500,2006,Механика,Бензин + газ,Исфара
Opel Vectra A,22000,1993,Автомат,Бензин + газ,Душанбе
Opel Astra G,85000,2007,Механика,Бензин,Муминабад
Opel Astra F,34000,1997,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Zafira,95000,2011,Автомат,Бензин,Худжанд
Opel Astra F,25000,1992,Механика,Бензин + газ,Куляб
Opel Zafira,90000,2009,Механика,Бензин + газ,Худжанд
Opel Astra H,77000,2010,Механика,Бензин,Рудаки
Opel Zafira,80000,2006,Механика,Бензин + газ,Худжанд
Opel Astra G,55000,1998,Автомат,Бензин + газ,Турсунзаде
Opel Astra G,55500,2000,Механика,Бензин + газ,Худжанд
Opel Zafira,80000,2006,Автомат,Бензин,Истаравшан
Opel Astra F,43000,1997,Механика,Бензин + газ,Душанбе
Opel Vectra B,25000,1998,Механика,Бензин + газ,Спитамен
Opel Astra F,39000,1997,Механика,Бензин,Джами
Opel Astra F,40000,1996,Механика,Бензин + газ,Душанбе
Opel Astra F,35000,1995,Механика,Бензин + газ,Джаббор Расулов
Opel Astra G,58000,1999,Механика,Бензин,Бохтар (Курган-Тюбе)
Opel Zafira,65000,2006,Механика,Дизель,Худжанд
Opel Astra G,60000,2002,Механика,Бензин,Хуросон
Opel Astra F,35000,1994,Механика,Бензин + газ,Куляб
Opel Astra G,50000,1999,Механика,Бензин + газ,Вахдат
Opel Frontera,43000,2000,Механика,Бензин + газ,Гиссар
Opel Astra F,31000,1995,Механика,Бензин + газ,Душанбе
Opel Astra F,45000,1998,Механика,Бензин + газ,Худжанд
Opel Zafira,115000,2012,Механика,Дизель,Худжанд
Opel Zafira,75000,2006,Автомат,Дизель,Худжанд
Opel Astra F,29000,1994,Механика,Бензин + газ,Худжанд
Opel Astra F,40000,1997,Механика,Бензин + газ,Куляб
Opel Astra F,31500,1995,Механика,Бензин + газ,Бохтар (Курган-Тюбе)
Opel Astra G,55000,1999,Механика,Бензин,Душанбе
Opel Astra G,62000,2001,Механика,Бензин,Душанбе
Opel Astra F,39000,1997,Механика,Бензин + газ,Вахдат
Opel Astra F,14000,1993,Механика,Бензин + газ,Хуросон
Opel Vectra A,11500,1991,Механика,Бензин + газ,Вахш
Opel Astra H,73000,2006,Механика,Бензин,Хуросон
Opel Astra F,20000,1993,Механика,Бензин + газ,Гиссар
